icmp_seq,time(ms),5_pt_moving_avg,5_pt_moving_std,10_pt_moving_avg,10_pt_moving_std,20_pt_moving_avg,20_pt_moving_std
1,70.8,,,,,,
2,58.3,,,,,,
3,54.9,,,,,,
4,65.2,,,,,,
5,68.9,63.62,6.8240017585,,,,
6,58.0,61.06,5.77780235038,,,,
7,56.3,60.66,6.07807535327,,,,
9,84.8,66.64,11.3856488616,,,,
10,95.4,72.68,17.0381043547,,,,
11,116,82.1,25.396062687,72.86,20.0551572752,,
12,80.2,86.54,21.8178367397,73.8,20.1678512049,,
13,66.6,88.6,18.4797186126,74.63,19.6224955939,,
14,59.5,83.54,22.7505604327,75.09,19.156980161,,
15,60.6,76.58,23.5251354938,74.63,19.4734605724,,
16,69.0,67.18,8.29831308158,74.64,19.4702165713,,
17,67.1,64.56,4.231193685,75.55,18.8074601038,,
18,76.4,66.52,6.86345394098,77.56,17.5538663041,,
19,56.4,65.9,7.74015503721,74.72,18.5230067154,,
20,54.5,64.68,9.13876359252,70.63,17.9561843262,,
21,59.9,62.86,8.96788715362,65.02,8.45771179982,68.94,15.5106211488
22,58.0,61.04,8.8143632782,62.8,6.77708557485,68.3,15.6928411436
24,61.3,58.02,2.70684317979,62.27,6.65299431334,68.45,15.6063246289
25,82.7,63.28,11.1517711598,64.59,9.15453136127,69.84,15.5739458543
26,93.1,71.0,15.9028299368,67.84,12.6733491145,71.235,16.3658590396
27,79.9,75.0,14.8963082675,68.93,13.2402626694,71.785,16.4677763494
28,71.4,77.68,11.996332773,69.36,13.2440510754,72.455,16.146874392
29,70.8,79.58,9.17371244372,68.8,13.0299654643,73.18,15.7027520216
30,57.2,74.48,13.2070814338,68.88,12.9475694845,71.8,15.8399893674
31,54.2,66.7,10.7196082018,68.85,12.9848843746,69.74,15.2783438066
32,59.6,62.64,7.9591456828,68.82,13.0081854572,66.92,10.8552970334
33,57.3,59.82,6.43055207583,68.75,13.0745936839,65.775,10.5851870182
34,56.6,56.98,1.92924855838,68.28,13.4512122543,65.275,10.7785789025
35,60.2,57.58,2.41909073827,66.03,12.6277516253,65.31,10.7599598904
36,56.0,57.94,1.85956984273,62.32,8.59790672199,65.08,10.9139987365
37,56.4,57.3,1.68819430161,59.97,6.11083736761,64.45,11.038759465
39,66.1,59.06,4.28228910748,59.44,5.16617201933,64.4,11.028384431
