datetime,amount,amountBase,price
2017-11-02 16:01:29,0.996562,1.3473529076135768,1.3520010873518926
2017-11-02 15:29:29,193667.953869,1.361679383652939,7.031e-06
2017-11-02 13:57:23,9e-06,0.0009,100.0
2017-11-02 02:28:26,1e-06,0.0001,100.0
2017-11-02 02:28:26,9e-06,0.0009,100.0
2017-11-02 02:20:33,9e-06,0.0009,100.0
2017-11-02 02:16:14,1e-05,0.001,100.0
2017-11-02 02:12:16,9e-06,0.0009,100.0
2017-11-02 01:58:54,9e-06,0.0009,100.0
2017-11-02 01:20:14,9e-06,0.0009,100.0
2017-11-02 00:58:57,9e-06,0.0009,100.0
2017-11-02 00:53:32,9e-06,0.0009,100.0
2017-11-02 00:49:32,9e-06,0.0009,100.0
2017-11-02 00:26:57,9e-06,0.0009,100.0
2017-11-01 22:33:50,9e-06,0.0009,100.0
2017-11-01 21:58:13,9e-06,0.0009,100.0
2017-11-01 18:25:43,9e-06,0.0009,100.0
2017-11-01 16:29:59,4391.336,0.08064688564,1.8365e-05
2017-11-01 05:14:39,9e-06,0.0009,100.0
2017-11-01 04:35:32,1e-06,0.0001,100.0
2017-11-01 04:35:20,9e-06,0.0009,100.0
2017-11-01 04:23:16,9e-06,0.0009,100.0
2017-11-01 04:12:51,9e-06,0.0009,100.0
2017-11-01 04:10:31,1e-06,0.0001,100.0
2017-11-01 04:10:18,9e-06,0.0009,100.0
2017-11-01 04:00:36,1e-06,0.0001,100.0
2017-11-01 04:00:36,9e-06,0.0009,100.0
2017-11-01 03:55:08,1e-06,0.0001,100.0
2017-11-01 03:54:38,9e-06,0.0009,100.0
2017-11-01 03:51:44,1e-06,0.0001,100.0
2017-11-01 03:51:28,9e-06,0.0009,100.0
2017-11-01 03:21:43,9e-06,0.0009,100.0
2017-11-01 03:18:28,9e-06,0.0009,100.0
2017-10-31 13:28:00,9e-06,0.0009,100.0
2017-10-31 11:20:49,9e-06,0.0009,100.0
2017-10-31 06:56:25,9e-06,0.0099,1100.0
2017-10-31 06:56:25,9e-06,0.0099,1100.0
2017-10-31 06:56:25,9e-06,0.0099,1100.0
2017-10-31 05:12:14,6900.0,0.09108,1.32e-05
2017-10-31 04:05:22,209180.0,2.51016,1.2e-05
2017-10-31 03:37:15,300000.0,3.585,1.195e-05
2017-10-30 20:27:27,5000.0,0.0599,1.198e-05
